uid,age,group,bw
69,8.000,Control,45.400
69,9.000,Control,46.800
69,10.000,Control,47.800
69,11.000,Control,48.100
71,-0.286,Control,41.400
71,0.000,Control,39.300
71,1.000,Control,36.200
71,2.000,Control,36.300
71,3.000,Control,35.700
71,3.429,Control,36.400
71,4.000,Control,36.100
71,5.000,Control,36.100
71,6.000,Control,36.600
71,7.000,Control,36.400
71,8.000,Control,36.400
71,9.000,Control,37.300
71,10.000,Control,38.500
71,11.000,Control,38.500
83,-0.286,Control,50.500
83,0.000,Control,48.100
83,1.000,Control,40.600
83,2.000,Control,39.000
83,3.000,Control,38.000
83,3.429,Control,39.600
83,4.000,Control,39.100
83,5.000,Control,37.500
83,6.000,Control,39.100
83,7.000,Control,41.000
83,8.000,Control,41.000
83,9.000,Control,41.200
83,10.000,Control,42.200
83,11.000,Control,43.000
86,-0.286,Control,46.600
86,0.000,Control,44.000
86,1.000,Control,42.000
86,2.000,Control,39.800
86,3.000,Control,41.900
86,3.429,Control,41.300
86,4.000,Control,42.600
86,5.000,Control,43.000
86,6.000,Control,43.900
86,7.000,Control,45.100
86,8.000,Control,45.100
86,9.000,Control,46.100
86,10.000,Control,47.200
86,11.000,Control,47.500
92,-0.286,Control,37.400
92,0.000,Control,36.000
92,1.000,Control,35.400
92,2.000,Control,35.000
92,3.000,Control,34.000
92,3.429,Control,35.100
92,4.000,Control,36.200
92,5.000,Control,35.800
92,6.000,Control,35.200
92,7.000,Control,36.400
92,8.000,Control,36.400
92,9.000,Control,37.200
92,10.000,Control,37.700
92,11.000,Control,37.700
105,-0.286,Control,34.700
105,0.000,Control,33.200
105,1.000,Control,33.400
105,2.000,Control,33.500
105,3.000,Control,33.400
105,3.429,Control,33.200
105,4.000,Control,34.000
105,5.000,Control,33.900
105,6.000,Control,34.000
105,7.000,Control,33.700
105,8.000,Control,33.700
105,9.000,Control,34.400
105,10.000,Control,34.600
105,11.000,Control,34.500
2,-0.286,Control,41.600
2,0.000,Control,40.300
2,1.000,Control,37.900
2,2.000,Control,36.700
2,3.000,Control,36.100
2,3.429,Control,36.800
2,4.000,Control,37.900
2,5.000,Control,37.900
2,6.000,Control,36.900
2,7.000,Control,36.600
2,8.000,Control,36.600
2,9.000,Control,36.400
2,10.000,Control,37.700
2,11.000,Control,37.500
17,-0.286,Control,39.400
17,0.000,Control,37.200
17,1.000,Control,34.900
17,2.000,Control,33.500
17,3.000,Control,32.300
17,3.429,Control,34.200
17,4.000,Control,34.200
17,5.000,Control,33.500
17,6.000,Control,34.600
17,7.000,Control,35.600
17,8.000,Control,35.600
17,9.000,Control,36.600
17,10.000,Control,37.000
17,11.000,Control,37.500
23,-0.286,Control,39.700
23,0.000,Control,37.400
23,1.000,Control,36.900
23,2.000,Control,36.300
23,3.000,Control,36.500
23,3.429,Control,37.300
23,4.000,Control,38.000
23,5.000,Control,39.400
23,6.000,Control,38.400
23,7.000,Control,38.800
23,8.000,Control,38.800
23,9.000,Control,38.700
23,10.000,Control,39.600
23,11.000,Control,39.800
30,-0.286,Control,34.800
